flow_id,size_bytes,size_kb,server,start_time,end_time,completion_time,throughput_mbps,success,returncode,error
11,1000000.0,976,'127.0.0.1:5001',1756031778.871206,1756031778.896367,0.025161027908325195,0,1,0,2025-08-24 18:36:18 - INFO - Client IP: 192.168.1.116; Client Port: 53761|2025-08-24 18:36:18 - INFO - Logging to file: log/192.168.1.116:53761.txt|2025-08-24 18:36:18 - INFO - Starting client: client=192.168.1.116:53761; server=127.0.0.1:5001; size=976KB|2025-08-24 18:36:18 - INFO - Connecting from 192.168.1.116:53761 to server 127.0.0.1:5001...|2025-08-24 18:36:18 - INFO - Connected to server from 192.168.1.116:53761|2025-08-24 18:36:18 - INFO - Requested 976KB of data|2025-08-24 18:36:18 - INFO - Received 976.00KB (100.0%)|2025-08-24 18:36:18 - INFO - Transfer completed: 999424 bytes received|2025-08-24 18:36:18 - INFO - Time taken: 0.00 seconds|2025-08-24 18:36:18 - INFO - Average speed: 14167.77 Mbps|2025-08-24 18:36:18 - INFO - Connection closed|2025-08-24 18:36:18 - INFO - Data transfer completed successfully|
12,30000.0,29,'127.0.0.1:5001',1756031780.34109,1756031780.3737524,0.032662391662597656,0,1,0,2025-08-24 18:36:20 - INFO - Client IP: 192.168.1.116; Client Port: 53191|2025-08-24 18:36:20 - INFO - Logging to file: log/192.168.1.116:53191.txt|2025-08-24 18:36:20 - INFO - Starting client: client=192.168.1.116:53191; server=127.0.0.1:5001; size=29KB|2025-08-24 18:36:20 - INFO - Connecting from 192.168.1.116:53191 to server 127.0.0.1:5001...|2025-08-24 18:36:20 - INFO - Connected to server from 192.168.1.116:53191|2025-08-24 18:36:20 - INFO - Requested 29KB of data|2025-08-24 18:36:20 - INFO - Received 29.00KB (100.0%)|2025-08-24 18:36:20 - INFO - Transfer completed: 29696 bytes received|2025-08-24 18:36:20 - INFO - Time taken: 0.00 seconds|2025-08-24 18:36:20 - INFO - Average speed: 1186.23 Mbps|2025-08-24 18:36:20 - INFO - Connection closed|2025-08-24 18:36:20 - INFO - Data transfer completed successfully|
13,200000.0,195,'127.0.0.1:5001',1756031782.6509473,1756031782.6844144,0.03346705436706543,0,1,0,2025-08-24 18:36:22 - INFO - Client IP: 192.168.1.116; Client Port: 55399|2025-08-24 18:36:22 - INFO - Logging to file: log/192.168.1.116:55399.txt|2025-08-24 18:36:22 - INFO - Starting client: client=192.168.1.116:55399; server=127.0.0.1:5001; size=195KB|2025-08-24 18:36:22 - INFO - Connecting from 192.168.1.116:55399 to server 127.0.0.1:5001...|2025-08-24 18:36:22 - INFO - Connected to server from 192.168.1.116:55399|2025-08-24 18:36:22 - INFO - Requested 195KB of data|2025-08-24 18:36:22 - INFO - Received 195.00KB (100.0%)|2025-08-24 18:36:22 - INFO - Transfer completed: 199680 bytes received|2025-08-24 18:36:22 - INFO - Time taken: 0.00 seconds|2025-08-24 18:36:22 - INFO - Average speed: 5800.99 Mbps|2025-08-24 18:36:22 - INFO - Connection closed|2025-08-24 18:36:22 - INFO - Data transfer completed successfully|
14,2000000.0,1953,'127.0.0.1:5001',1756031785.022452,1756031785.0467384,0.024286270141601562,0,1,0,2025-08-24 18:36:25 - INFO - Client IP: 192.168.1.116; Client Port: 60037|2025-08-24 18:36:25 - INFO - Logging to file: log/192.168.1.116:60037.txt|2025-08-24 18:36:25 - INFO - Starting client: client=192.168.1.116:60037; server=127.0.0.1:5001; size=1953KB|2025-08-24 18:36:25 - INFO - Connecting from 192.168.1.116:60037 to server 127.0.0.1:5001...|2025-08-24 18:36:25 - INFO - Connected to server from 192.168.1.116:60037|2025-08-24 18:36:25 - INFO - Requested 1953KB of data|2025-08-24 18:36:25 - INFO - Received 1953.00KB (100.0%)|2025-08-24 18:36:25 - INFO - Transfer completed: 1999872 bytes received|2025-08-24 18:36:25 - INFO - Time taken: 0.00 seconds|2025-08-24 18:36:25 - INFO - Average speed: 23187.48 Mbps|2025-08-24 18:36:25 - INFO - Connection closed|2025-08-24 18:36:25 - INFO - Data transfer completed successfully|
15,30000000.0,29296,'127.0.0.1:5001',1756031786.7762747,1756031786.8161168,0.03984212875366211,0,1,0,2025-08-24 18:36:26 - INFO - Client IP: 192.168.1.116; Client Port: 38003|2025-08-24 18:36:26 - INFO - Logging to file: log/192.168.1.116:38003.txt|2025-08-24 18:36:26 - INFO - Starting client: client=192.168.1.116:38003; server=127.0.0.1:5001; size=29296KB|2025-08-24 18:36:26 - INFO - Connecting from 192.168.1.116:38003 to server 127.0.0.1:5001...|2025-08-24 18:36:26 - INFO - Connected to server from 192.168.1.116:38003|2025-08-24 18:36:26 - INFO - Requested 29296KB of data|2025-08-24 18:36:26 - INFO - Received 64.00KB (0.2%)|2025-08-24 18:36:26 - INFO - Received 29296.00KB (100.0%)|2025-08-24 18:36:26 - INFO - Transfer completed: 29999104 bytes received|2025-08-24 18:36:26 - INFO - Time taken: 0.01 seconds|2025-08-24 18:36:26 - INFO - Average speed: 34296.52 Mbps|2025-08-24 18:36:26 - INFO - Connection closed|2025-08-24 18:36:26 - INFO - Data transfer completed successfully|
16,80000.0,78,'127.0.0.1:5001',1756031791.1716707,1756031791.253533,0.08186221122741699,0,1,0,2025-08-24 18:36:31 - INFO - Client IP: 192.168.1.116; Client Port: 44195|2025-08-24 18:36:31 - INFO - Logging to file: log/192.168.1.116:44195.txt|2025-08-24 18:36:31 - INFO - Starting client: client=192.168.1.116:44195; server=127.0.0.1:5001; size=78KB|2025-08-24 18:36:31 - INFO - Connecting from 192.168.1.116:44195 to server 127.0.0.1:5001...|2025-08-24 18:36:31 - INFO - Connected to server from 192.168.1.116:44195|2025-08-24 18:36:31 - INFO - Requested 78KB of data|2025-08-24 18:36:31 - INFO - Received 78.00KB (100.0%)|2025-08-24 18:36:31 - INFO - Transfer completed: 79872 bytes received|2025-08-24 18:36:31 - INFO - Time taken: 0.04 seconds|2025-08-24 18:36:31 - INFO - Average speed: 14.95 Mbps|2025-08-24 18:36:31 - INFO - Connection closed|2025-08-24 18:36:31 - INFO - Data transfer completed successfully|
17,10000.0,9,'127.0.0.1:5001',1756031791.5842443,1756031791.6172252,0.032980918884277344,0,1,0,2025-08-24 18:36:31 - INFO - Client IP: 192.168.1.116; Client Port: 57591|2025-08-24 18:36:31 - INFO - Logging to file: log/192.168.1.116:57591.txt|2025-08-24 18:36:31 - INFO - Starting client: client=192.168.1.116:57591; server=127.0.0.1:5001; size=9KB|2025-08-24 18:36:31 - INFO - Connecting from 192.168.1.116:57591 to server 127.0.0.1:5001...|2025-08-24 18:36:31 - INFO - Connected to server from 192.168.1.116:57591|2025-08-24 18:36:31 - INFO - Requested 9KB of data|2025-08-24 18:36:31 - INFO - Received 9.00KB (100.0%)|2025-08-24 18:36:31 - INFO - Transfer completed: 9216 bytes received|2025-08-24 18:36:31 - INFO - Time taken: 0.00 seconds|2025-08-24 18:36:31 - INFO - Average speed: 249.59 Mbps|2025-08-24 18:36:31 - INFO - Connection closed|2025-08-24 18:36:31 - INFO - Data transfer completed successfully|
18,10000000.0,9765,'127.0.0.1:5001',1756031794.6119723,1756031794.6480875,0.036115169525146484,0,1,0,2025-08-24 18:36:34 - INFO - Client IP: 192.168.1.116; Client Port: 46293|2025-08-24 18:36:34 - INFO - Logging to file: log/192.168.1.116:46293.txt|2025-08-24 18:36:34 - INFO - Starting client: client=192.168.1.116:46293; server=127.0.0.1:5001; size=9765KB|2025-08-24 18:36:34 - INFO - Connecting from 192.168.1.116:46293 to server 127.0.0.1:5001...|2025-08-24 18:36:34 - INFO - Connected to server from 192.168.1.116:46293|2025-08-24 18:36:34 - INFO - Requested 9765KB of data|2025-08-24 18:36:34 - INFO - Received 9765.00KB (100.0%)|2025-08-24 18:36:34 - INFO - Transfer completed: 9999360 bytes received|2025-08-24 18:36:34 - INFO - Time taken: 0.00 seconds|2025-08-24 18:36:34 - INFO - Average speed: 33160.98 Mbps|2025-08-24 18:36:34 - INFO - Connection closed|2025-08-24 18:36:34 - INFO - Data transfer completed successfully|
19,200000.0,195,'127.0.0.1:5001',1756031795.9019737,1756031795.9352105,0.03323674201965332,0,1,0,2025-08-24 18:36:35 - INFO - Client IP: 192.168.1.116; Client Port: 55273|2025-08-24 18:36:35 - INFO - Logging to file: log/192.168.1.116:55273.txt|2025-08-24 18:36:35 - INFO - Starting client: client=192.168.1.116:55273; server=127.0.0.1:5001; size=195KB|2025-08-24 18:36:35 - INFO - Connecting from 192.168.1.116:55273 to server 127.0.0.1:5001...|2025-08-24 18:36:35 - INFO - Connected to server from 192.168.1.116:55273|2025-08-24 18:36:35 - INFO - Requested 195KB of data|2025-08-24 18:36:35 - INFO - Received 195.00KB (100.0%)|2025-08-24 18:36:35 - INFO - Transfer completed: 199680 bytes received|2025-08-24 18:36:35 - INFO - Time taken: 0.00 seconds|2025-08-24 18:36:35 - INFO - Average speed: 8375.19 Mbps|2025-08-24 18:36:35 - INFO - Connection closed|2025-08-24 18:36:35 - INFO - Data transfer completed successfully|
20,30000000.0,29296,'127.0.0.1:5001',1756031800.4022264,1756031800.433501,0.03127455711364746,0,1,0,2025-08-24 18:36:40 - INFO - Client IP: 192.168.1.116; Client Port: 40147|2025-08-24 18:36:40 - INFO - Logging to file: log/192.168.1.116:40147.txt|2025-08-24 18:36:40 - INFO - Starting client: client=192.168.1.116:40147; server=127.0.0.1:5001; size=29296KB|2025-08-24 18:36:40 - INFO - Connecting from 192.168.1.116:40147 to server 127.0.0.1:5001...|2025-08-24 18:36:40 - INFO - Connected to server from 192.168.1.116:40147|2025-08-24 18:36:40 - INFO - Requested 29296KB of data|2025-08-24 18:36:40 - INFO - Received 29296.00KB (100.0%)|2025-08-24 18:36:40 - INFO - Transfer completed: 29999104 bytes received|2025-08-24 18:36:40 - INFO - Time taken: 0.01 seconds|2025-08-24 18:36:40 - INFO - Average speed: 34129.07 Mbps|2025-08-24 18:36:40 - INFO - Connection closed|2025-08-24 18:36:40 - INFO - Data transfer completed successfully|
